"Series Id,Year,Period,Value"
"CUUR0000SETB,1960,M01,24.2"
"CUUR0000SETB,1960,M02,23.9"
"CUUR0000SETB,1960,M03,24.1"
"CUUR0000SETB,1960,M04,24.1"
"CUUR0000SETB,1960,M05,23.9"
"CUUR0000SETB,1960,M06,24.3"
"CUUR0000SETB,1960,M07,24.6"
"CUUR0000SETB,1960,M08,24.9"
"CUUR0000SETB,1960,M09,24.8"
"CUUR0000SETB,1960,M10,24.5"
"CUUR0000SETB,1960,M11,24.9"
"CUUR0000SETB,1960,M12,24.7"
"CUUR0000SETB,1961,M01,24.8"
"CUUR0000SETB,1961,M02,24.4"
"CUUR0000SETB,1961,M03,24.3"
"CUUR0000SETB,1961,M04,23.4"
"CUUR0000SETB,1961,M05,23.6"
"CUUR0000SETB,1961,M06,23.9"
"CUUR0000SETB,1961,M07,24.2"
"CUUR0000SETB,1961,M08,24.4"
"CUUR0000SETB,1961,M09,24.5"
"CUUR0000SETB,1961,M10,24.2"
"CUUR0000SETB,1961,M11,24.3"
"CUUR0000SETB,1961,M12,23.8"
"CUUR0000SETB,1962,M01,24.0"
"CUUR0000SETB,1962,M02,24.2"
"CUUR0000SETB,1962,M03,23.9"
"CUUR0000SETB,1962,M04,24.5"
"CUUR0000SETB,1962,M05,24.3"
"CUUR0000SETB,1962,M06,24.1"
"CUUR0000SETB,1962,M07,23.6"
"CUUR0000SETB,1962,M08,24.0"
"CUUR0000SETB,1962,M09,24.9"
"CUUR0000SETB,1962,M10,24.7"
"CUUR0000SETB,1962,M11,24.5"
"CUUR0000SETB,1962,M12,24.8"
"CUUR0000SETB,1963,M01,24.6"
"CUUR0000SETB,1963,M02,24.4"
"CUUR0000SETB,1963,M03,24.3"
"CUUR0000SETB,1963,M04,24.0"
"CUUR0000SETB,1963,M05,24.1"
"CUUR0000SETB,1963,M06,23.8"
"CUUR0000SETB,1963,M07,24.3"
"CUUR0000SETB,1963,M08,24.7"
"CUUR0000SETB,1963,M09,24.0"
"CUUR0000SETB,1963,M10,24.3"
"CUUR0000SETB,1963,M11,24.0"
"CUUR0000SETB,1963,M12,24.2"
"CUUR0000SETB,1964,M06,24.0"
"CUUR0000SETB,1964,M12,24.2"
"CUUR0000SETB,1965,M06,25.2"
"CUUR0000SETB,1965,M12,25.2"
"CUUR0000SETB,1966,M03,25.3"
"CUUR0000SETB,1966,M06,25.4"
"CUUR0000SETB,1966,M09,25.9"
"CUUR0000SETB,1966,M12,26.0"
"CUUR0000SETB,1967,M01,26.2"
"CUUR0000SETB,1967,M02,26.0"
"CUUR0000SETB,1967,M03,26.2"
