Date,Price
1-May-22,"4,175.48"
1-Apr-22,"4,391.30"
1-Mar-22,"4,391.27"
1-Feb-22,"4,435.98"
1-Jan-22,"4,573.82"
1-Dec-21,"4,674.77"
1-Nov-21,"4,667.39"
1-Oct-21,"4,460.71"
1-Sep-21,"4,445.54"
1-Aug-21,"4,454.21"
1-Jul-21,"4,363.71"
1-Jun-21,"4,238.49"
1-May-21,"4,167.85"
1-Apr-21,"4,141.18"
1-Mar-21,"3,910.51"
1-Feb-21,"3,883.43"
1-Jan-21,"3,793.75"
1-Dec-20,"3,695.31"
1-Nov-20,"3,548.99"
1-Oct-20,"3,418.70"
1-Sep-20,"3,365.52"
1-Aug-20,"3,391.71"
1-Jul-20,"3,207.62"
1-Jun-20,"3,104.66"
1-May-20,"2,919.61"
1-Apr-20,"2,761.98"
1-Mar-20,"2,652.39"
1-Feb-20,"3,277.31"
1-Jan-20,"3,278.20"
1-Dec-19,"3,176.75"
1-Nov-19,"3,104.90"
1-Oct-19,"2,977.68"
1-Sep-19,"2,982.16"
1-Aug-19,"2,897.50"
1-Jul-19,"2,996.11"
1-Jun-19,"2,890.17"
1-May-19,"2,854.71"
1-Apr-19,"2,903.80"
1-Mar-19,"2,803.98"
1-Feb-19,"2,754.86"
1-Jan-19,"2,607.39"
1-Dec-18,"2,567.31"
1-Nov-18,"2,723.23"
1-Oct-18,"2,785.46"
1-Sep-18,"2,901.50"
1-Aug-18,"2,857.82"
1-Jul-18,"2,793.64"
1-Jun-18,"2,754.35"
1-May-18,"2,701.49"
1-Apr-18,"2,653.63"
1-Mar-18,"2,702.77"
1-Feb-18,"2,705.16"
1-Jan-18,"2,789.80"
1-Dec-17,"2,664.34"
1-Nov-17,"2,593.61"
1-Oct-17,"2,557.00"
1-Sep-17,"2,492.84"
1-Aug-17,"2,456.22"
1-Jul-17,"2,454.10"
1-Jun-17,"2,433.99"
1-May-17,"2,395.35"
1-Apr-17,"2,359.31"
1-Mar-17,"2,366.82"
1-Feb-17,"2,329.91"
1-Jan-17,"2,275.12"
1-Dec-16,"2,246.63"
1-Nov-16,"2,164.99"
1-Oct-16,"2,143.02"
1-Sep-16,"2,157.69"
1-Aug-16,"2,170.95"
1-Jul-16,"2,148.90"
1-Jun-16,"2,083.89"
1-May-16,"2,065.55"
1-Apr-16,"2,075.54"
1-Mar-16,"2,021.95"
1-Feb-16,"1,904.42"
1-Jan-16,"1,918.60"
1-Dec-15,"2,054.08"
1-Nov-15,"2,080.62"
1-Oct-15,"2,024.81"
1-Sep-15,"1,944.41"
1-Aug-15,"2,039.87"
1-Jul-15,"2,094.14"
1-Jun-15,"2,099.29"
1-May-15,"2,111.94"
1-Apr-15,"2,094.86"
1-Mar-15,"2,079.99"
1-Feb-15,"2,082.20"
1-Jan-15,"2,028.18"
1-Dec-14,"2,054.27"
1-Nov-14,"2,044.57"
1-Oct-14,"1,937.27"
1-Sep-14,"1,993.23"
1-Aug-14,"1,961.53"
1-Jul-14,"1,973.10"
1-Jun-14,"1,947.09"
1-May-14,"1,889.77"
1-Apr-14,"1,864.26"
1-Mar-14,"1,863.52"
1-Feb-14,"1,817.04"
1-Jan-14,"1,822.36"
1-Dec-13,"1,807.78"
1-Nov-13,"1,783.54"
1-Oct-13,"1,720.03"
1-Sep-13,"1,687.17"
1-Aug-13,"1,670.09"
1-Jul-13,"1,668.68"
1-Jun-13,"1,618.77"
1-May-13,"1,639.84"
1-Apr-13,"1,570.70"
1-Mar-13,"1,550.83"
1-Feb-13,"1,512.31"
1-Jan-13,"1,480.40"
1-Dec-12,"1,422.29"
1-Nov-12,"1,394.51"
1-Oct-12,"1,437.82"
1-Sep-12,"1,443.42"
1-Aug-12,"1,403.45"
1-Jul-12,"1,359.78"
1-Jun-12,"1,323.48"
1-May-12,"1,341.27"
1-Apr-12,"1,386.43"
1-Mar-12,"1,389.24"
1-Feb-12,"1,352.49"
1-Jan-12,"1,300.58"
1-Dec-11,"1,243.32"
1-Nov-11,"1,226.42"
1-Oct-11,"1,207.22"
1-Sep-11,"1,173.88"
1-Aug-11,"1,185.31"
1-Jul-11,"1,325.19"
1-Jun-11,"1,287.29"
1-May-11,"1,338.31"
1-Apr-11,"1,331.51"
1-Mar-11,"1,304.49"
1-Feb-11,"1,321.12"
1-Jan-11,"1,282.62"
1-Dec-10,"1,241.53"
1-Nov-10,"1,198.89"
1-Oct-10,"1,171.58"
1-Sep-10,"1,122.08"
1-Aug-10,"1,087.28"
1-Jul-10,"1,079.80"
1-Jun-10,"1,083.36"
1-May-10,"1,125.06"
1-Apr-10,"1,197.32"
1-Mar-10,"1,152.05"
1-Feb-10,"1,089.16"
1-Jan-10,"1,123.58"
1-Dec-09,"1,110.38"
1-Nov-09,"1,088.07"
1-Oct-09,"1,067.66"
1-Sep-09,"1,044.55"
1-Aug-09,"1,009.73"
1-Jul-09,935.82
1-Jun-09,926.12
1-May-09,902.41
1-Apr-09,848.15
1-Mar-09,757.13
1-Feb-09,805.23
1-Jan-09,865.58
1-Dec-08,877.56
1-Nov-08,883.04
1-Oct-08,968.8
1-Sep-08,"1,216.95"
1-Aug-08,"1,281.47"
1-Jul-08,"1,257.33"
1-Jun-08,"1,341.25"
1-May-08,"1,403.22"
1-Apr-08,"1,370.47"
1-Mar-08,"1,316.94"
1-Feb-08,"1,354.87"
1-Jan-08,"1,378.76"
1-Dec-07,"1,479.22"
1-Nov-07,"1,463.39"
1-Oct-07,"1,539.66"
1-Sep-07,"1,497.12"
1-Aug-07,"1,454.62"
1-Jul-07,"1,520.71"
1-Jun-07,"1,514.19"
1-May-07,"1,511.14"
1-Apr-07,"1,463.64"
1-Mar-07,"1,406.95"
1-Feb-07,"1,444.80"
1-Jan-07,"1,424.16"
1-Dec-06,"1,416.42"
1-Nov-06,"1,388.64"
1-Oct-06,"1,363.38"
1-Sep-06,"1,317.74"
1-Aug-06,"1,287.15"
1-Jul-06,"1,260.24"
1-Jun-06,"1,253.17"
1-May-06,"1,290.01"
1-Apr-06,"1,302.17"
1-Mar-06,"1,293.74"
1-Feb-06,"1,276.65"
1-Jan-06,"1,278.73"
1-Dec-05,"1,262.07"
1-Nov-05,"1,237.37"
1-Oct-05,"1,191.96"
1-Sep-05,"1,225.92"
1-Aug-05,"1,224.27"
1-Jul-05,"1,222.24"
1-Jun-05,"1,202.25"
1-May-05,"1,178.28"
1-Apr-05,"1,164.43"
1-Mar-05,"1,194.90"
1-Feb-05,"1,199.63"
1-Jan-05,"1,181.41"
1-Dec-04,"1,199.21"
1-Nov-04,"1,168.94"
1-Oct-04,"1,117.21"
1-Sep-04,"1,117.66"
1-Aug-04,"1,088.94"
1-Jul-04,"1,105.85"
1-Jun-04,"1,132.76"
1-May-04,"1,102.78"
1-Apr-04,"1,133.36"
1-Mar-04,"1,123.98"
1-Feb-04,"1,143.36"
1-Jan-04,"1,132.52"
1-Dec-03,"1,080.64"
1-Nov-03,"1,049.90"
1-Oct-03,"1,038.73"
1-Sep-03,"1,019.44"
1-Aug-03,989.53
1-Jul-03,992.54
1-Jun-03,988
1-May-03,935.96
1-Apr-03,890.03
1-Mar-03,846.63
1-Feb-03,837.03
1-Jan-03,895.84
1-Dec-02,899.18
1-Nov-02,909.93
1-Oct-02,854.63
1-Sep-02,867.81
1-Aug-02,912.55
1-Jul-02,903.59
1-Jun-02,"1,014.02"
1-May-02,"1,079.25"
1-Apr-02,"1,111.93"
1-Mar-02,"1,153.79"
1-Feb-02,"1,100.67"
1-Jan-02,"1,140.21"
1-Dec-01,"1,144.93"
1-Nov-01,"1,129.68"
1-Oct-01,"1,076.59"
1-Sep-01,"1,044.64"
1-Aug-01,"1,178.50"
1-Jul-01,"1,204.45"
1-Jun-01,"1,238.71"
1-May-01,"1,270.37"
1-Apr-01,"1,189.84"
1-Mar-01,"1,185.85"
1-Feb-01,"1,305.75"
1-Jan-01,"1,335.63"
1-Dec-00,"1,330.93"
1-Nov-00,"1,378.04"
1-Oct-00,"1,390.14"
1-Sep-00,"1,468.05"
1-Aug-00,"1,485.46"
1-Jul-00,"1,473.00"
1-Jun-00,"1,461.96"
1-May-00,"1,418.48"
1-Apr-00,"1,461.36"
1-Mar-00,"1,442.21"
1-Feb-00,"1,388.87"
1-Jan-00,"1,425.59"
1-Dec-99,"1,428.68"
1-Nov-99,"1,391.00"
1-Oct-99,"1,300.01"
1-Sep-99,"1,318.17"
1-Aug-99,"1,327.49"
1-Jul-99,"1,380.99"
1-Jun-99,"1,322.55"
1-May-99,"1,332.07"
1-Apr-99,"1,334.76"
1-Mar-99,"1,281.66"
1-Feb-99,"1,246.58"
1-Jan-99,"1,248.77"
1-Dec-98,"1,190.05"
1-Nov-98,"1,144.43"
1-Oct-98,"1,032.47"
1-Sep-98,"1,020.64"
1-Aug-98,"1,074.62"
1-Jul-98,"1,156.58"
1-Jun-98,"1,108.39"
1-May-98,"1,108.42"
1-Apr-98,"1,112.20"
1-Mar-98,"1,076.83"
1-Feb-98,"1,023.74"
1-Jan-98,963.36
1-Dec-97,962.37
1-Nov-97,938.92
1-Oct-97,951.16
1-Sep-97,937.02
1-Aug-97,927.24
1-Jul-97,925.29
1-Jun-97,876.29
1-May-97,833.09
1-Apr-97,763.93
1-Mar-97,792.16
1-Feb-97,798.39
1-Jan-97,766.22
1-Dec-96,743.25
1-Nov-96,735.67
1-Oct-96,701.46
1-Sep-96,674.88
1-Aug-96,662.68
1-Jul-96,644.07
1-Jun-96,668.5
1-May-96,661.23
1-Apr-96,647.17
1-Mar-96,647.07
1-Feb-96,649.54
1-Jan-96,614.42
1-Dec-95,614.57
1-Nov-95,595.53
1-Oct-95,582.92
1-Sep-95,578.77
1-Aug-95,559.11
1-Jul-95,557.37
1-Jun-95,539.35
1-May-95,523.81
1-Apr-95,507.91
1-Mar-95,493.15
1-Feb-95,481.92
1-Jan-95,465.25
1-Dec-94,455.19
1-Nov-94,461.01
1-Oct-94,463.81
1-Sep-94,466.96
1-Aug-94,464.24
1-Jul-94,451.4
1-Jun-94,454.83
1-May-94,450.9
1-Apr-94,447.23
1-Mar-94,463.81
1-Feb-94,471.58
1-Jan-94,472.99
1-Dec-93,465.95
1-Nov-93,462.89
1-Oct-93,463.9
1-Sep-93,459.24
1-Aug-93,454.13
1-Jul-93,447.29
1-Jun-93,448.06
1-May-93,445.25
1-Apr-93,443.08
1-Mar-93,450.16
1-Feb-93,441.7
1-Jan-93,435.23
1-Dec-92,435.64
1-Nov-92,422.84
1-Oct-92,412.5
1-Sep-92,418.48
1-Aug-92,417.93
1-Jul-92,415.05
